County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),Value (Dollars),Rank within US
"McClain County, Oklahoma",40087,Urban,80150.000000000,"395 of 3142"
"Limestone County, Alabama",01083,Urban,80146.000000000,"396 of 3142"
"Yamhill County, Oregon",41071,Urban,80125.000000000,"397 of 3142"
"Bottineau County, North Dakota",38009,Rural,80113.000000000,"398 of 3142"
"Monroe County, Florida",12087,Rural,80111.000000000,"399 of 3142"
"Woodford County, Illinois",17203,Urban,80093.000000000,"400 of 3142"
"Hood County, Texas",48221,Rural,80013.000000000,"401 of 3142"
"Hays County, Texas",48209,Urban,79990.000000000,"402 of 3142"
"Plymouth County, Iowa",19149,Rural,79963.000000000,"403 of 3142"
"Aleutians East Borough, Alaska",02013,Rural,79961.000000000,"404 of 3142"
"Grafton County, New Hampshire",33009,Rural,79949.000000000,"405 of 3142"
"Fallon County, Montana",30025,Rural,79750.000000000,"406 of 3142"
"York County, Maine",23031,Urban,79743.000000000,"407 of 3142"
"Dare County, North Carolina",37055,Rural,79742.000000000,"408 of 3142"
"Steele County, Minnesota",27147,Rural,79722.000000000,"409 of 3142"
"Blanco County, Texas",48031,Rural,79717.000000000,"410 of 3142"
"Bowman County, North Dakota",38011,Rural,79709.000000000,"411 of 3142"
"Seward County, Nebraska",31159,Urban,79677.000000000,"412 of 3142"
"DeSoto County, Mississippi",28033,Urban,79666.000000000,"413 of 3142"
"Henry County, Georgia",13151,Urban,79663.000000000,"414 of 3142"
"Skagway Municipality, Alaska",02230,Rural,79583.000000000,"415 of 3142"
"Clermont County, Ohio",39025,Urban,79573.000000000,"416 of 3142"
"Morton County, North Dakota",38059,Urban,79555.000000000,"417 of 3142"
"Seminole County, Florida",12117,Urban,79490.000000000,"418 of 3142"
"Effingham County, Georgia",13103,Urban,79474.000000000,"419 of 3142"
"Putnam County, Ohio",39137,Rural,79453.000000000,"420 of 3142"
"Benton County, Iowa",19011,Urban,79444.000000000,"421 of 3142"
"Walton County, Georgia",13297,Urban,79425.000000000,"422 of 3142"
"Douglas County, Washington",53017,Urban,79422.000000000,"423 of 3142"
"King William County, Virginia",51101,Urban,79398.000000000,"424 of 3142"
"Nevada County, California",06057,Rural,79395.000000000,"425 of 3142"
"Sweetwater County, Wyoming",56037,Rural,79375.000000000,"426 of 3142"
"Grand County, Colorado",08049,Rural,79367.000000000,"427 of 3142"
"Warren County, Virginia",51187,Urban,79313.000000000,"428 of 3142"
"Columbia County, Wisconsin",55021,Urban,79271.000000000,"429 of 3142"
"Mecklenburg County, North Carolina",37119,Urban,79265.000000000,"430 of 3142"
"Converse County, Wyoming",56009,Rural,79235.000000000,"431 of 3142"
"Iowa County, Wisconsin",55049,Urban,79226.000000000,"432 of 3142"
"St. Charles Parish, Louisiana",22089,Urban,79191.000000000,"433 of 3142"
"York County, Pennsylvania",42133,Urban,79183.000000000,"434 of 3142"
"Morgan County, Indiana",18109,Urban,79134.000000000,"435 of 3142"
"Camden County, North Carolina",37029,Urban,79120.000000000,"436 of 3142"
"Nicollet County, Minnesota",27103,Urban,79113.000000000,"437 of 3142"
"Madison County, Mississippi",28089,Urban,79105.000000000,"438 of 3142"
"Mathews County, Virginia",51115,Urban,79054.000000000,"439 of 3142"
"McCone County, Montana",30055,Rural,79022.000000000,"440 of 3142"
"Adams County, Pennsylvania",42001,Urban,78975.000000000,"441 of 3142"
"Lake County, Colorado",08065,Rural,78942.000000000,"442 of 3142"
"Tarrant County, Texas",48439,Urban,78872.000000000,"443 of 3142"
"Albany County, New York",36001,Urban,78829.000000000,"444 of 3142"
"Polk County, Iowa",19153,Urban,78827.000000000,"445 of 3142"
"Charleston County, South Carolina",45019,Urban,78795.000000000,"446 of 3142"
"Ouray County, Colorado",08091,Rural,78750.000000000,"447 of 3142"
"Stark County, North Dakota",38089,Rural,78734.000000000,"448 of 3142"
"Outagamie County, Wisconsin",55087,Urban,78705.000000000,"449 of 3142"
"Licking County, Ohio",39089,Urban,78505.000000000,"450 of 3142"
"Foster County, North Dakota",38031,Rural,78426.000000000,"451 of 3142"
"Lafayette County, Missouri",29107,Urban,78397.000000000,"452 of 3142"
"Stillwater County, Montana",30095,Urban,78380.000000000,"453 of 3142"
"Goodhue County, Minnesota",27049,Rural,78338.000000000,"454 of 3142"
"Cook County, Illinois",17031,Urban,78304.000000000,"455 of 3142"
"Woodford County, Kentucky",21239,Urban,78295.000000000,"456 of 3142"
"Rutherford County, Tennessee",47149,Urban,78291.000000000,"457 of 3142"
"Rice County, Minnesota",27131,Rural,78214.000000000,"458 of 3142"
"Uinta County, Wyoming",56041,Rural,78164.000000000,"459 of 3142"
"Ward County, North Dakota",38101,Urban,78143.000000000,"460 of 3142"
"Ramsey County, Minnesota",27123,Urban,78108.000000000,"461 of 3142"
"McHenry County, North Dakota",38049,Urban,78071.000000000,"462 of 3142"
"St. Louis County, Missouri",29189,Urban,78067.000000000,"463 of 3142"
"Hartley County, Texas",48205,Rural,78065.000000000,"464 of 3142"
"Madison County, Alabama",01089,Urban,78058.000000000,"465 of 3142"
"Clinton County, Illinois",17027,Urban,78054.000000000,"466 of 3142"
"Randall County, Texas",48381,Urban,78038.000000000,"467 of 3142"
"Plaquemines Parish, Louisiana",22075,Urban,77996.000000000,"468 of 3142"
"Moore County, North Carolina",37125,Urban,77981.000000000,"469 of 3142"
"Livingston Parish, Louisiana",22063,Urban,77978.000000000,"470 of 3142"
"Martin County, Florida",12085,Urban,77894.000000000,"471 of 3142"
"Franklin County, Washington",53021,Urban,77877.000000000,"472 of 3142"
"Berkeley County, South Carolina",45015,Urban,77874.000000000,"473 of 3142"
"Petersburg Census Area, Alaska",02195,Rural,77826.000000000,"474 of 3142"
"Jasper County, Indiana",18073,Urban,77777.000000000,"475 of 3142"
"Butler County, Kansas",20015,Urban,77724.000000000,"476 of 3142"
"Botetourt County, Virginia",51023,Urban,77680.000000000,"477 of 3142"
"Northwest Arctic Borough, Alaska",02188,Rural,77647.000000000,"478 of 3142"
"Kewaunee County, Wisconsin",55061,Urban,77610.000000000,"479 of 3142"
"Jersey County, Illinois",17083,Urban,77607.000000000,"480 of 3142"
"Sagadahoc County, Maine",23023,Urban,77591.000000000,"481 of 3142"
"Mason County, Texas",48319,Rural,77583.000000000,"482 of 3142"
"Whatcom County, Washington",53073,Urban,77581.000000000,"483 of 3142"
"Greene County, Georgia",13133,Rural,77527.000000000,"484 of 3142"
"Calaveras County, California",06009,Rural,77526.000000000,"485 of 3142"
"Trego County, Kansas",20195,Rural,77500.000000000,"486 of 3142"
"Jefferson County, Idaho",16051,Urban,77491.000000000,"487 of 3142"
"Eddy County, New Mexico",35015,Rural,77458.000000000,"488 of 3142"
"San Bernardino County, California",06071,Urban,77423.000000000,"489 of 3142"
"Polk County, Oregon",41053,Urban,77353.000000000,"490 of 3142"
"Washington County, Vermont",50023,Rural,77278.000000000,"491 of 3142"
"Dinwiddie County, Virginia",51053,Urban,77225.000000000,"492 of 3142"
"Jefferson County, Missouri",29099,Urban,77217.000000000,"493 of 3142"
"Sarasota County, Florida",12115,Urban,77213.000000000,"494 of 3142"
"Ulster County, New York",36111,Urban,77197.000000000,"495 of 3142"
"Davis County, Iowa",19051,Rural,77176.000000000,"496 of 3142"
"Eaton County, Michigan",26045,Urban,77158.000000000,"497 of 3142"
"Renville County, North Dakota",38075,Urban,77067.000000000,"498 of 3142"
"Butler County, Ohio",39017,Urban,77062.000000000,"499 of 3142"
"Madison County, Ohio",39097,Urban,77062.000000000,"499 of 3142"
"Johnson County, Texas",48251,Urban,77058.000000000,"501 of 3142"
"Carroll County, New Hampshire",33003,Rural,77049.000000000,"502 of 3142"
"Jefferson County, Wisconsin",55055,Rural,77018.000000000,"503 of 3142"
"Cheatham County, Tennessee",47021,Urban,77014.000000000,"504 of 3142"
"Deuel County, South Dakota",46039,Rural,76997.000000000,"505 of 3142"
"Hamlin County, South Dakota",46057,Rural,76995.000000000,"506 of 3142"
"Houston County, Georgia",13153,Urban,76968.000000000,"507 of 3142"
"Cedar County, Iowa",19031,Rural,76959.000000000,"508 of 3142"
"Douglas County, Georgia",13097,Urban,76930.000000000,"509 of 3142"
"St. Tammany Parish, Louisiana",22103,Urban,76914.000000000,"510 of 3142"
"Bartholomew County, Indiana",18005,Urban,76912.000000000,"511 of 3142"
"Yakutat City and Borough, Alaska",02282,Rural,76875.000000000,"512 of 3142"
"Lake County, Ohio",39085,Urban,76835.000000000,"513 of 3142"
"Edmunds County, South Dakota",46045,Rural,76806.000000000,"514 of 3142"
"San Juan County, Washington",53055,Rural,76745.000000000,"515 of 3142"
"Worcester County, Maryland",24047,Rural,76689.000000000,"516 of 3142"
"Ontario County, New York",36069,Urban,76603.000000000,"517 of 3142"
"Louisa County, Virginia",51109,Rural,76594.000000000,"518 of 3142"
"Gosper County, Nebraska",31073,Rural,76583.000000000,"519 of 3142"
"Kenosha County, Wisconsin",55059,Urban,76583.000000000,"519 of 3142"
"Cheshire County, New Hampshire",33005,Rural,76551.000000000,"521 of 3142"
"Gunnison County, Colorado",08051,Rural,76538.000000000,"522 of 3142"
"Rankin County, Mississippi",28121,Urban,76460.000000000,"523 of 3142"
"Sandoval County, New Mexico",35043,Urban,76424.000000000,"524 of 3142"
"Pike County, Pennsylvania",42103,Rural,76416.000000000,"525 of 3142"
"Monroe County, Iowa",19135,Rural,76324.000000000,"526 of 3142"
"Laramie County, Wyoming",56021,Urban,76282.000000000,"527 of 3142"
"Kenai Peninsula Borough, Alaska",02122,Rural,76272.000000000,"528 of 3142"
"Kent County, Michigan",26081,Urban,76247.000000000,"529 of 3142"
"Augusta County, Virginia",51015,Urban,76124.000000000,"530 of 3142"
"Perry County, Pennsylvania",42099,Urban,76103.000000000,"531 of 3142"
"Douglas County, Nebraska",31055,Urban,76083.000000000,"532 of 3142"
"Green County, Wisconsin",55045,Urban,76080.000000000,"533 of 3142"
"Palm Beach County, Florida",12099,Urban,76066.000000000,"534 of 3142"
"DeKalb County, Georgia",13089,Urban,76044.000000000,"535 of 3142"
"Stanton County, Nebraska",31167,Rural,76035.000000000,"536 of 3142"
"Kenton County, Kentucky",21117,Urban,76016.000000000,"537 of 3142"
"Franklin County, Indiana",18047,Urban,75985.000000000,"538 of 3142"
"Custer County, South Dakota",46033,Urban,75943.000000000,"539 of 3142"
"Meeker County, Minnesota",27093,Rural,75926.000000000,"540 of 3142"
"Delaware County, Iowa",19055,Rural,75896.000000000,"541 of 3142"
"Harrison County, Iowa",19085,Urban,75830.000000000,"542 of 3142"
"Guthrie County, Iowa",19077,Urban,75795.000000000,"543 of 3142"
"Christian County, Missouri",29043,Urban,75787.000000000,"544 of 3142"
"Ogle County, Illinois",17141,Rural,75782.000000000,"545 of 3142"
"Boone County, Iowa",19015,Urban,75759.000000000,"546 of 3142"
"Putnam County, Illinois",17155,Rural,75726.000000000,"547 of 3142"
"Putnam County, West Virginia",54079,Urban,75725.000000000,"548 of 3142"
"Butler County, Nebraska",31023,Rural,75690.000000000,"549 of 3142"
"Floyd County, Indiana",18043,Urban,75686.000000000,"550 of 3142"
"Lincoln County, North Carolina",37109,Urban,75672.000000000,"551 of 3142"
"Sargent County, North Dakota",38081,Rural,75648.000000000,"552 of 3142"
"Posey County, Indiana",18129,Urban,75594.000000000,"553 of 3142"
"Humboldt County, Nevada",32013,Rural,75574.000000000,"554 of 3142"
"Grand Traverse County, Michigan",26055,Urban,75553.000000000,"555 of 3142"
"Allegan County, Michigan",26005,Rural,75543.000000000,"556 of 3142"
"Warren County, Missouri",29219,Urban,75531.000000000,"557 of 3142"
"Windham County, Connecticut",09015,Urban,75513.000000000,"558 of 3142"
"Linn County, Iowa",19113,Urban,75457.000000000,"559 of 3142"
"Sussex County, Delaware",10005,Rural,75406.000000000,"560 of 3142"
"Lapeer County, Michigan",26087,Urban,75402.000000000,"561 of 3142"
"Southeast Fairbanks Census Area, Alaska",02240,Rural,75378.000000000,"562 of 3142"
"McLean County, Illinois",17113,Urban,75356.000000000,"563 of 3142"
"Rogers County, Oklahoma",40131,Urban,75312.000000000,"564 of 3142"
"Johnston County, North Carolina",37101,Urban,75288.000000000,"565 of 3142"
"Auglaize County, Ohio",39011,Rural,75231.000000000,"566 of 3142"
"Clay County, Texas",48077,Urban,75227.000000000,"567 of 3142"
"Barry County, Michigan",26015,Urban,75182.000000000,"568 of 3142"
"Walworth County, Wisconsin",55127,Rural,75172.000000000,"569 of 3142"
"Washington County, Illinois",17189,Rural,75111.000000000,"570 of 3142"
"Wagoner County, Oklahoma",40145,Urban,75082.000000000,"571 of 3142"
"Wabasha County, Minnesota",27157,Urban,75063.000000000,"572 of 3142"
"Rock County, Minnesota",27133,Urban,75060.000000000,"573 of 3142"
"Schenectady County, New York",36093,Urban,75056.000000000,"574 of 3142"
"Barrow County, Georgia",13013,Urban,75053.000000000,"575 of 3142"
"Douglas County, South Dakota",46043,Rural,75048.000000000,"576 of 3142"
"Alfalfa County, Oklahoma",40003,Rural,75028.000000000,"577 of 3142"
"Loudon County, Tennessee",47105,Urban,75008.000000000,"578 of 3142"
"Clay County, Minnesota",27027,Urban,75006.000000000,"579 of 3142"
"Lehigh County, Pennsylvania",42077,Urban,74973.000000000,"580 of 3142"
"Crook County, Oregon",41013,Urban,74969.000000000,"581 of 3142"
"Durham County, North Carolina",37063,Urban,74927.000000000,"582 of 3142"
"Lake County, South Dakota",46079,Rural,74884.000000000,"583 of 3142"
"McCook County, South Dakota",46087,Urban,74873.000000000,"584 of 3142"
"Stanislaus County, California",06099,Urban,74872.000000000,"585 of 3142"
"Monroe County, Georgia",13207,Urban,74867.000000000,"586 of 3142"
"Amador County, California",06005,Rural,74853.000000000,"587 of 3142"
"Walton County, Florida",12131,Urban,74832.000000000,"588 of 3142"
"Bartow County, Georgia",13015,Urban,74812.000000000,"589 of 3142"
"Sibley County, Minnesota",27143,Rural,74781.000000000,"590 of 3142"
"Bedford City and County, Virginia",51917,Urban,74773.000000000,"591 of 3142"
"Kings County, New York",36047,Urban,74692.000000000,"592 of 3142"
"Carlton County, Minnesota",27017,Urban,74660.000000000,"593 of 3142"
"Berks County, Pennsylvania",42011,Urban,74617.000000000,"594 of 3142"
"Tazewell County, Illinois",17179,Urban,74606.000000000,"595 of 3142"
"Madison County, Virginia",51113,Rural,74586.000000000,"596 of 3142"
"Jefferson County, Kansas",20087,Urban,74562.000000000,"597 of 3142"
"Ottawa County, Kansas",20143,Rural,74551.000000000,"598 of 3142"
"Pender County, North Carolina",37141,Urban,74538.000000000,"599 of 3142"
"Orange County, Vermont",50017,Rural,74534.000000000,"600 of 3142"
"Warren County, New York",36113,Urban,74531.000000000,"601 of 3142"
"Gray County, Kansas",20069,Rural,74500.000000000,"602 of 3142"
"Robertson County, Tennessee",47147,Urban,74440.000000000,"603 of 3142"
"Washington County, Pennsylvania",42125,Urban,74403.000000000,"604 of 3142"
"Mason County, Washington",53045,Rural,74388.000000000,"605 of 3142"
"Grady County, Oklahoma",40051,Urban,74349.000000000,"606 of 3142"
"Kearney County, Nebraska",31099,Rural,74276.000000000,"607 of 3142"
"Hawaii County, Hawaii",15001,Rural,74238.000000000,"608 of 3142"
"Marion County, Iowa",19125,Rural,74193.000000000,"609 of 3142"
"Hall County, Georgia",13139,Urban,74153.000000000,"610 of 3142"
"Polk County, Wisconsin",55095,Rural,74142.000000000,"611 of 3142"
"Brown County, Wisconsin",55009,Urban,74066.000000000,"612 of 3142"
"Meade County, Kansas",20119,Rural,74063.000000000,"613 of 3142"
"Marshall County, South Dakota",46091,Rural,74018.000000000,"614 of 3142"
"Billings County, North Dakota",38007,Rural,74000.000000000,"615 of 3142"
"Okaloosa County, Florida",12091,Urban,73988.000000000,"616 of 3142"
"Brown County, Indiana",18013,Urban,73933.000000000,"617 of 3142"
"Clay County, Nebraska",31035,Rural,73933.000000000,"617 of 3142"
"Eureka County, Nevada",32011,Rural,73929.000000000,"619 of 3142"
"Bullitt County, Kentucky",21029,Urban,73900.000000000,"620 of 3142"
"Red Lake County, Minnesota",27125,Rural,73889.000000000,"621 of 3142"
"Macomb County, Michigan",26099,Urban,73876.000000000,"622 of 3142"
"Jefferson County, Montana",30043,Urban,73875.000000000,"623 of 3142"
"Lake County, Minnesota",27075,Rural,73860.000000000,"624 of 3142"
"Essex County, New Jersey",34013,Urban,73785.000000000,"625 of 3142"
"Greenlee County, Arizona",04011,Rural,73756.000000000,"626 of 3142"
"Lyon County, Iowa",19119,Rural,73735.000000000,"627 of 3142"
"Dorchester County, South Carolina",45035,Urban,73686.000000000,"628 of 3142"
"Midland County, Michigan",26111,Urban,73643.000000000,"629 of 3142"
"Whitley County, Indiana",18183,Urban,73636.000000000,"630 of 3142"
"Franklin County, Vermont",50011,Urban,73633.000000000,"631 of 3142"
"Berkeley County, West Virginia",54003,Urban,73619.000000000,"632 of 3142"
"Oconto County, Wisconsin",55083,Urban,73611.000000000,"633 of 3142"
"Austin County, Texas",48015,Urban,73556.000000000,"634 of 3142"
"Madera County, California",06039,Urban,73543.000000000,"635 of 3142"
"Shelby County, Ohio",39149,Rural,73502.000000000,"636 of 3142"
"Dubuque County, Iowa",19061,Urban,73495.000000000,"637 of 3142"
"Buchanan County, Iowa",19019,Rural,73493.000000000,"638 of 3142"
"Salem County, New Jersey",34033,Urban,73378.000000000,"639 of 3142"
"Pinal County, Arizona",04021,Urban,73313.000000000,"640 of 3142"
"Gaines County, Texas",48165,Rural,73299.000000000,"641 of 3142"
"McLeod County, Minnesota",27085,Rural,73296.000000000,"642 of 3142"
"Kandiyohi County, Minnesota",27067,Rural,73285.000000000,"643 of 3142"
"Mercer County, Ohio",39107,Rural,73278.000000000,"644 of 3142"
"Lampasas County, Texas",48281,Urban,73269.000000000,"645 of 3142"
